Id;Designator;Name;Package;Quantity;Cost/Qty for 1;Total Cost;Cost/Qty for 100;Total Cost;Cost/Qty for 500;Total Cost;Designation;Supplier;Reference;Ordering Number
1;C1,C2;;CP_Radial_D10.0mm_P5.00mm;2;1,9380  ;3,8760  ;1,9380  ;3,8760  ;1,9380  ;3,8760  ;100uF/12V;DIGIKEY;https://www.digikey.de/product-detail/en/vishay-sprague/672D157F012CG5D/672D157F012CG5D-ND/5612011;672D157F012CG5D-ND
2;C3,C5,C6,C9;;C_0603;4;0,1310  ;0,5240  ;0,0360  ;0,1440  ;0,0300  ;0,1200  ;0.1uF;MOUSER;Entering Keyword 0603 Capacitor in MOUSER or GOOGLE;
3;C4,C7;;C_0603;2;0,1310  ;0,2620  ;0,0360  ;0,0720  ;0,0300  ;0,0600  ;10nF;MOUSER;Entering Keyword 0603 Capacitor in MOUSER or GOOGLE;
4;C8;;C_0603;1;0,1310  ;0,1310  ;0,0360  ;0,0360  ;0,0300  ;0,0300  ;1uF;MOUSER;Entering Keyword 0603 Capacitor in MOUSER or GOOGLE;
5;J1,J3;;TerminalBlock_bornier-2_P5.08mm;2;;0,0000  ;;0,0000  ;;0,0000  ;Screw_Terminal_01x02;;;
6;R2,R3,R4;;R_0603;3;;0,0000  ;;0,0000  ;;0,0000  ;10k;;;
7;R5;;R_0603;1;;0,0000  ;;0,0000  ;;0,0000  ;0;;;
8;RV1;;Potentiometer_Trimmer_Bourns_3339H_Horizontal;1;;0,0000  ;;0,0000  ;;0,0000  ;0-10k;;;
9;U1;;SOT-23-5;1;;0,0000  ;;0,0000  ;;0,0000  ;TPS76333;;;
10;U2;;TSSOP-20_4.4x6.5mm_Pitch0.65mm;1;;0,0000  ;;0,0000  ;;0,0000  ;STM8L051F3;;;
11;D1;;DO214AA;1;;0,0000  ;;0,0000  ;;0,0000  ;SMBJ12CA;;;
12;J2;;Pin_Header_Straight_1x04_Pitch1.00mm;1;;0,0000  ;;0,0000  ;;0,0000  ;Conn_01x04;;;
13;M1;;PG-DSO-12-17;1;;0,0000  ;;0,0000  ;;0,0000  ;IFX9201SG;;;
14;D2;;D_MiniMELF;1;;0,0000  ;;0,0000  ;;0,0000  ;D_Schottky;;;
15;PCB;;37mm x 68 mm;1;;0,0000  ;;0,0000  ;;0,0000  ;;;;
;;;;;;;;;;;;;;
;;;;;Prototype Cost ;23,965;Running Cost/Card;4,128;;;;;;
;;;;;for 5 Pcs;;;;;;;;;
